,user_id,subscription_type,user_journey
42,151003,Quarterly,Homepage-Pricing-Career track certificate-Homepage-Pricing-Checkout-Homepage-Pricing-Log in-Homepage-Log in
43,152002,Annualy,Log in-Other-Resource center-Other-Checkout
44,152882,Monthly,Log in-Sign up-Log in-Courses-Sign up-Courses-Career tracks-Courses-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Coupon
45,153570,Annualy,Coupon
46,156771,Annualy,Coupon
47,156880,Monthly,Log in-Pricing-Log in-Other-Pricing-Checkout-Log in-Other-Log in-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Checkout
48,157143,Annualy,Pricing-Checkout-Log in-Checkout-Pricing-Checkout-Pricing-Checkout-Log in-Pricing-Log in-Other-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Log in-Pricing-Log in-Other-Log in-Pricing-Log in-Coupon
49,158113,Monthly,Log in-Homepage-Log in-Checkout
50,160910,Annualy,Courses-Sign up-Log in-Homepage-Log in-Coupon
51,161329,Annualy,Career tracks-Sign up-Career tracks-Sign up-Career track certificate-Career tracks-Career track certificate-Courses-Career track certificate-Courses-Pricing-Courses-Pricing-Sign up-Pricing-Other-Pricing-Homepage-Other-Resource center-Homepage-Resource center-Homepage-Resource center-Log in-Pricing-Log in-Career tracks-Pricing-Courses-Homepage-Courses-Homepage-Log in-Checkout
52,161523,Monthly,Sign up-Pricing-Sign up-Homepage-Pricing-Checkout
53,162545,Monthly,Checkout-Career tracks-Career track certificate-Career tracks-Career track certificate-Courses-Career track certificate-Career tracks-Courses-Course certificate-Courses-Course certificate-Career tracks-Course certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Career track certificate-Courses-Log in-Courses-Log in-Courses-Log in-Courses-Log in-Checkout
54,171697,Annualy,Coupon
55,172645,Annualy,Pricing-Checkout-Sign up-Pricing-Sign up-Homepage-Sign up-Checkout-Coupon-Checkout-Coupon
56,182313,Annualy,Coupon
57,185224,Annualy,Log in-Homepage-Log in-Homepage-Log in-Checkout
58,185236,Annualy,Courses-Course certificate-Courses-Course certificate-Homepage-Course certificate-Log in-Courses-Log in-Sign up-Log in-Sign up-Log in-Sign up-Courses-Sign up-Courses-Checkout
59,185890,Annualy,Resource center-Other-Coupon-Log in-Sign up-Log in-Career tracks-Sign up-Career tracks-Career track certificate-Career tracks-Career track certificate-Pricing-Career track certificate-Coupon-Log in-Coupon
60,188451,Annualy,Log in-Homepage-Log in-Checkout
61,195227,Annualy,Career tracks-Sign up-Career tracks-Homepage-Career tracks-Coupon
62,202020,Annualy,Log in-Other-Log in-Homepage-Log in-Checkout-Coupon
63,203365,Annualy,Log in-Courses-Log in-Homepage-Courses-Other-Coupon-Homepage-Pricing-Log in-Career track certificate-Log in-Homepage-Career track certificate-Coupon-Checkout-Coupon
64,209680,Annualy,Log in-Other-Log in-Other-Log in-Other-Log in-Other-Log in-Resource center-Other-Resource center-Other-Log in-Checkout
65,212532,Annualy,Coupon-Log in-Other-Homepage-Log in-Coupon
66,217381,Annualy,Coupon
67,219706,Monthly,Career tracks-Homepage-Career tracks-Homepage-Sign up-Pricing-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout
68,220511,Annualy,Log in-Pricing-Log in-Homepage-Log in-Coupon-Checkout
69,220744,Annualy,Coupon
70,222389,Annualy,Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Coupon-Log in-Checkout-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Career track certificate-Homepage-Career track certificate-Homepage-Career track certificate-Career tracks-Homepage-Career tracks-Homepage-Checkout-Pricing-Checkout-Other-Pricing-Homepage-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Other-Pricing-Checkout-Log in-Homepage-Log in-Checkout
71,223121,Monthly,Pricing-Homepage-Pricing-Homepage-Other-Homepage-Other-Homepage-Pricing-Homepage-Pricing-Career tracks-Pricing-Career tracks-Pricing-Career tracks-Pricing-Sign up-Log in-Sign up-Log in-Coupon
72,223597,Monthly,Log in-Homepage-Log in-Coupon
73,223721,Annualy,Checkout-Pricing-Checkout-Homepage-Pricing-Log in-Checkout
74,223777,Monthly,Log in-Homepage-Log in-Checkout
75,223883,Annualy,Log in-Career track certificate-Course certificate-Career track certificate-Course certificate-Other-Course certificate-Checkout-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
76,226950,Annualy,Coupon
77,227784,Annualy,Course certificate-Career tracks-Course certificate-Homepage-Pricing-Homepage-Pricing-Log in-Sign up-Log in-Sign up-Checkout
78,227846,Annualy,Coupon
79,228059,Annualy,Log in-Checkout-Log in-Coupon-Log in-Checkout
80,230961,Annualy,Sign up-Log in-Homepage-Sign up-Homepage-Log in-Checkout-Homepage-Log in-Checkout-Log in-Homepage-Log in-Checkout
81,233544,Annualy,Log in-Homepage-Log in-Homepage-Log in-Checkout-Log in-Checkout
82,235712,Annualy,Career track certificate-Homepage-Career track certificate-Pricing-Homepage-Pricing-Career tracks-Sign up-Homepage-Pricing-Homepage-Pricing-Log in-Pricing-Log in-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Log in-Homepage-Log in-Checkout
83,236893,Quarterly,Pricing-Log in-Homepage-Pricing-Checkout
84,237247,Annualy,Log in-Homepage-Log in-Checkout
85,244110,Annualy,Sign up-Other-Sign up-Career tracks-Homepage-Career tracks-Homepage-Log in-Homepage-Log in-Course certificate-Log in-Course certificate-Sign up-Course certificate-Homepage-Course certificate-Other-Log in-Blog-Log in-Checkout
86,244693,Annualy,Coupon
87,248835,Annualy,Log in-Career tracks-Log in-Career tracks-Pricing-Career tracks-Homepage-Pricing-Homepage-Log in-Coupon
88,250430,Annualy,Coupon
89,253512,Annualy,Log in-Checkout-Log in-Sign up-Log in-Homepage-Sign up-Checkout
90,255892,Annualy,Log in-Homepage-Log in-Homepage-Log in-Checkout
91,256301,Monthly,Log in-Courses-Log in-Courses-Career track certificate-Courses-Career track certificate-Career tracks-Career track certificate-Career tracks-Other-Career tracks-Course certificate-Other-Course certificate-Other-Course certificate-Homepage-Course certificate-Career tracks-Course certificate-Career tracks-Course certificate-Career tracks-Course certificate-Career track certificate-Course certificate-Homepage-Career track certificate-Sign up-Courses-Sign up-Courses-Course certificate-Courses-Sign up-Courses-Sign up-Checkout
92,256312,Annualy,Coupon
93,258989,Monthly,Resource center-Other-Resource center-Homepage-Resource center-Sign up-Courses-Sign up-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Courses-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Sign up-Courses-Sign up-Resource center-Other-Sign up-Checkout
94,260579,Monthly,Sign up-Log in-Sign up-Log in-Pricing-Log in-Career tracks-Pricing-Career tracks-Homepage-Career tracks-Checkout-Coupon
95,261077,Annualy,Resource center-Other-Log in-Homepage-Log in
96,261624,Annualy,Coupon-Checkout
97,262246,Monthly,Homepage-Log in-Checkout
98,262728,Annualy,Log in-Checkout
99,262999,Annualy,Log in-Checkout
100,263101,Annualy,Course certificate-Pricing-Course certificate-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Homepage-Pricing-Log in-Homepage-Log in-Checkout
101,266371,Annualy,Log in-Homepage-Log in-Sign up-Courses-Sign up-Courses-Homepage-Courses-Log in-Homepage-Log in-Pricing-Checkout-Homepage-Pricing-Log in-Pricing-Homepage-Log in-Checkout-Pricing-Checkout-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Other-Resource center-Career tracks-Resource center-Career tracks-Courses-Career tracks-Coupon
102,267025,Annualy,Coupon
103,267334,Monthly,Course certificate-Courses-Course certificate-Courses-Course certificate-Courses-Homepage-Courses-Log in-Courses-Log in-Courses-Homepage-Courses-Sign up-Checkout
104,267719,Monthly,Log in-Checkout
105,267955,Annualy,Log in-Pricing-Checkout-Other-Pricing-Homepage-Other-Pricing-Checkout-Homepage-Pricing-Courses-Resource center-Courses-Resource center-Other-Log in-Checkout-Coupon-Resource center-Coupon-Sign up-Coupon
106,269209,Annualy,Log in-Resource center-Log in-Resource center-Log in-Coupon
107,270317,Annualy,Sign up-Homepage-Sign up-Checkout
108,271000,Annualy,Homepage-Log in-Coupon
109,271778,Annualy,Coupon
110,272443,Monthly,Log in-Resource center-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
111,273256,Annualy,Homepage-Sign up-Log in-Sign up-Log in-Homepage-Log in-Career tracks-Log in-Career tracks-Log in-Resource center-Log in-Pricing-Resource center-Log in-Homepage-Log in-Homepage-Log in-Checkout
112,274222,Annualy,Courses-Homepage-Courses-Coupon-Log in-Homepage-Log in-Coupon-Checkout
113,274586,Annualy,Sign up-Homepage-Sign up-Coupon
114,275657,Monthly,Other-Pricing-Checkout-Homepage-Pricing-Coupon
115,277395,Monthly,Homepage-Pricing-Courses-Other-Courses-Other-Pricing-Courses-Homepage-Log in-Other-About us-Other-Resource center-About us-Resource center-Career track certificate-Resource center-Career track certificate-Success stories-Career track certificate-Success stories-Other-Success stories-Other-Resource center-Courses-Other-Courses-Homepage-Courses-Checkout
116,278257,Annualy,Log in-Coupon
117,279567,Annualy,Pricing-Resource center-Pricing-Career track certificate-Pricing-Career track certificate-Pricing-Career track certificate-Sign up-Log in-Courses-Sign up-Other-Courses-Course certificate-Other-Career track certificate-Course certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Career tracks-Courses-Homepage-Courses-Coupon
118,280244,Monthly,Career tracks-Homepage-Career tracks-Log in-Sign up-Log in-Homepage-Sign up-Checkout
119,281132,Annualy,Other-Pricing-Other-Pricing-Checkout-Career tracks-Pricing-Career tracks-Courses-Career tracks-Pricing-Courses-Career track certificate-Pricing-Career track certificate-Homepage-Career track certificate-Pricing-Career track certificate-Pricing-Homepage-Pricing-Career tracks-Pricing-Career tracks-Other-Pricing-Resource center-Other-Career track certificate-Career tracks-Career track certificate-Career tracks-Other-Coupon
120,282927,Annualy,Checkout-Coupon-Log in-Sign up-Log in-Sign up-Courses-Sign up
121,282998,Annualy,Log in-Checkout
122,283073,Monthly,Log in-Sign up-Log in-Homepage-Sign up-Log in-Sign up-Log in-Homepage-Sign up
123,284423,Annualy,Homepage-Pricing-Coupon
124,284947,Annualy,Course certificate-Resource center-Course certificate-Coupon
125,285057,Annualy,Homepage-Pricing-Checkout-Log in-Homepage-Pricing-Log in-Homepage-Pricing-Homepage-Pricing-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
126,286605,Annualy,Log in-Courses-Log in-Career tracks-Courses-Career tracks-Other-Career track certificate-Resource center-Other-Coupon-Resource center-Other-Coupon-Other-Sign up-Resource center-Other-Resource center-Other-Homepage-Log in-Coupon-Log in-Other-Coupon-Career tracks-Homepage-Career tracks-Coupon
127,286986,Annualy,Log in-Sign up-Log in-Sign up-Homepage-Sign up-Log in-Checkout-Log in-Checkout
128,287136,Monthly,Log in-Homepage-Log in-Checkout
129,288416,Monthly,Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Pricing-Homepage-Pricing-Career tracks-Homepage-Career tracks-Sign up-Career tracks-Sign up-Career tracks-Checkout
130,289110,Quarterly,Log in-Checkout
131,289169,Annualy,Coupon
